url,class,basis
https://mamago.by/,evergreen,homepage
https://mamago.by/ivan-kupala-2025-ili-gde-otmetit-kupale-v-minske/,event,holiday article: year + Kupala in slug
https://mamago.by/lyubimye-plyazhi-i-otkrytye-basseyny-v-minske-i-nepodalyoku/,evergreen,article without date/year/holiday binding
https://mamago.by/routes/5-mini-puteshestvij-na-1-den-nedaleko-ot-minska/,evergreen,Route entity namespace
https://mamago.by/top-18-kafe-i-restoranov-s-detskoj-ploshhadkoj-ili-komnatoj/,evergreen,article without date/year/holiday binding
https://mamago.by/places/muzej-aviacionnoj-tehniki/,evergreen,Place entity namespace
https://mamago.by/ivan-kupala-2026-ili-gde-otmetit-kupale-v-minske-i-za-gorodom/,event,holiday article: year + Kupala in slug
https://mamago.by/events/,event,Event namespace/listing
https://mamago.by/events/festival-lidbeer-2025-lidbir/,event,Event namespace
https://mamago.by/maslenicza-2026-v-minske-kuda-pojti-s-detmi-i-gde-otmetit-prazdnik/,event,holiday article: year + Maslenitsa in slug
https://mamago.by/events/bolshaya-kosmicheskaya-vystavka-kosmopark/,event,Event namespace
https://mamago.by/novogodnie-fotozony-minska-40-fotozon-i-40-idey-pochemu-stoit-tuda-shodit/,event,holiday article: New Year in slug
https://mamago.by/gde-otmetit-den-rozhdeniya-rebenka-10-krutyh-mest-v-gorode/,evergreen,evergreen birthday guide
https://mamago.by/events/serija-koncertov-klassika-u-ratushi/,event,Event namespace
https://mamago.by/kuda-shodit-s-rebenkom-v-minske-v-den-zashhity-detej-1-iyunya/,event,holiday article: Children's Day + exact date
https://mamago.by/events/den-goroda-minska-2025/,event,Event namespace
https://mamago.by/novyj-god-2026-ili-kuda-shodit-na-novogodnih-kanikulah-v-minske/,event,holiday article: year + New Year in slug
https://mamago.by/events/teatralnaya-gostinaya-v-rakovskom-dvorike-sezon-2025/,event,Event namespace
https://mamago.by/park-ugo-chavesa-samyy-bolshoy-skeyt-park-zamok-i-attrakciony/,evergreen,article without date/year/holiday binding
https://mamago.by/lyubimye-mesta-v-grodno-i-v-okrestnostyah-na-mashine-ili-avtodome/,evergreen,article without date/year/holiday binding
https://mamago.by/events/obshhegorodskie-meropriyatiya-k-novomu-2025-godu-v-minske/,event,Event namespace
https://mamago.by/events/3-iyulya-den-nezavisimosti/,event,Event namespace
https://mamago.by/kuda-shodit-14-go-fevralya-raznym-tipam-parochek/,event,holiday article: Valentine's Day exact date
https://mamago.by/master-klassy-dlya-detej/,evergreen,evergreen hub
https://mamago.by/events/9-maya-v-minske/,event,Event namespace
