"entity","id","slug","current_price_fields","evidence","proposed_mode","proposed_min","proposed_max","reason","local_link","admin_link"
"Activity","cmt1s68no0038wszf6gg69deq","local-test-slot-a-0800-1000","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmt1s68no0038wszf6gg69deq\"",\""slug\"":\""local-test-slot-a-0800-1000\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":null,\""priceItems\"":null,\""scheduleJson\"":{\""dates\"":[\""2026-08-22\""],\""endTime\"":\""10:00\"",\""startTime\"":\""08:00\"",\""categoryId\"":\""cmqpohj330099wss6mnj1wwy6\"",\""scheduleMode\"":\""single\"",\""scheduleItems\"":[{\""id\"":\""local-a\"",\""date\"":\""2026-08-22\"",\""allDay\"":false,\""dateEnd\"":null,\""endTime\"":\""10:00\"",\""startTime\"":\""08:00\"",\""isMultiDay\"":false,\""isCollapsed\"":false,\""recurrenceUnit\"":\""...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmt1s68no0038wszf6gg69deq/edit","/editor/event/cmt1s68no0038wszf6gg69deq/edit"
"Activity","cmt1s68qs003hwszfifw8w6dw","local-test-slot-b-0830-0930","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmt1s68qs003hwszfifw8w6dw\"",\""slug\"":\""local-test-slot-b-0830-0930\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":null,\""priceItems\"":null,\""scheduleJson\"":{\""dates\"":[\""2026-08-22\""],\""endTime\"":\""09:30\"",\""startTime\"":\""08:30\"",\""categoryId\"":\""cmqpohj330099wss6mnj1wwy6\"",\""scheduleMode\"":\""single\"",\""scheduleItems\"":[{\""id\"":\""local-b\"",\""date\"":\""2026-08-22\"",\""allDay\"":false,\""dateEnd\"":null,\""endTime\"":\""09:30\"",\""startTime\"":\""08:30\"",\""isMultiDay\"":false,\""isCollapsed\"":false,\""recurrenceUnit\"":\""...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmt1s68qs003hwszfifw8w6dw/edit","/editor/event/cmt1s68qs003hwszfifw8w6dw/edit"
"Activity","cmt1s68s3003qwszfnnuh5gcz","local-test-window-1200-2000","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmt1s68s3003qwszfnnuh5gcz\"",\""slug\"":\""local-test-window-1200-2000\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":null,\""priceItems\"":null,\""scheduleJson\"":{\""dates\"":[\""2026-08-22\""],\""endTime\"":\""20:00\"",\""startTime\"":\""12:00\"",\""categoryId\"":\""cmqpohj330099wss6mnj1wwy6\"",\""scheduleMode\"":\""single\"",\""scheduleItems\"":[{\""id\"":\""local-c\"",\""date\"":\""2026-08-22\"",\""allDay\"":false,\""dateEnd\"":null,\""endTime\"":\""20:00\"",\""startTime\"":\""12:00\"",\""isMultiDay\"":false,\""isCollapsed\"":false,\""recurrenceUnit\"":\""...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmt1s68s3003qwszfnnuh5gcz/edit","/editor/event/cmt1s68s3003qwszfnnuh5gcz/edit"
"Activity","cmt1s68tg003zwszfmbg4ifxg","local-test-slot-1300-1400","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmt1s68tg003zwszfmbg4ifxg\"",\""slug\"":\""local-test-slot-1300-1400\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":null,\""priceItems\"":null,\""scheduleJson\"":{\""dates\"":[\""2026-08-22\""],\""endTime\"":\""14:00\"",\""startTime\"":\""13:00\"",\""categoryId\"":\""cmqpohj330099wss6mnj1wwy6\"",\""scheduleMode\"":\""single\"",\""scheduleItems\"":[{\""id\"":\""local-d\"",\""date\"":\""2026-08-22\"",\""allDay\"":false,\""dateEnd\"":null,\""endTime\"":\""14:00\"",\""startTime\"":\""13:00\"",\""isMultiDay\"":false,\""isCollapsed\"":false,\""recurrenceUnit\"":\""we...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmt1s68tg003zwszfmbg4ifxg/edit","/editor/event/cmt1s68tg003zwszfmbg4ifxg/edit"
"Activity","cmt1s68uj0048wszftlatubyj","local-test-replacement-1030-1130","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmt1s68uj0048wszftlatubyj\"",\""slug\"":\""local-test-replacement-1030-1130\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":null,\""priceItems\"":null,\""scheduleJson\"":{\""dates\"":[\""2026-08-22\""],\""endTime\"":\""11:30\"",\""startTime\"":\""10:30\"",\""categoryId\"":\""cmqpohj330099wss6mnj1wwy6\"",\""scheduleMode\"":\""single\"",\""scheduleItems\"":[{\""id\"":\""local-e\"",\""date\"":\""2026-08-22\"",\""allDay\"":false,\""dateEnd\"":null,\""endTime\"":\""11:30\"",\""startTime\"":\""10:30\"",\""isMultiDay\"":false,\""isCollapsed\"":false,\""recurrenceUn...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmt1s68uj0048wszftlatubyj/edit","/editor/event/cmt1s68uj0048wszftlatubyj/edit"
"Activity","cmrrljj8c0006wsls2fw3jnyw","letniy-klub-dlya-detey-na-angliyskom","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":{""id"":""cmrrljj8c0006wsls2fw3jnyw"",""slug"":""letniy-klub-dlya-detey-na-angliyskom"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null,""scheduleJson"":{""mode"":""ONE_TIME"",""dates"":[""2026-07-19"",""2026-08-21""],""startTime"":""08:30"",""scheduleItems"":[{""date"":""2026-07-19"",""dateEnd"":""2026-08-21"",""startTime"":""08:30""}]}}}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmrrljj8c0006wsls2fw3jnyw/edit","/editor/event/cmrrljj8c0006wsls2fw3jnyw/edit"
"Activity","cmrsduuwv0006wsepv9dbf19s","letnyaya-aktivnaya-razvlekatelnaya-zagorodnaya-programma-2026-aktiv-polis-na-baze-sanatoriya","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":""2 213 BYN - РАННЕЕ БРОНИРОВАНИЕ до 1 февраля 2026 *можно купить в рассрочку до 8 месяцев (услуги ООО \""Активные дети\"" Стоимость включает: 1 098 BYN (оплата санаторию) - проживание (11 дней/12 ночей), 6-ти разовое питание, медицинские процедуры, охрана территории, мед. сопровождение, ежедневная уборка. 1 1 115 BYN (до 1 февраля ) - все активности каждого дня, материалы, работа инструкторов, чат родителей, фото-видео отчёта каждый день, медицинская страховка на период программы 1175 до 1 марта (общая стоимость программы 2 273 BYN) 1 250 BYN - до 1 апреля (общая стоимость программы 2 348 BYN) 1 325 BYN - после 1 апреля (общая стоимость программы 2 423 BYN)"",""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":""{\""id\"":\""cmrsduuwv0006wsepv9dbf19s\"",\""slug\"":\""letnyaya-aktivnaya-razvlekatelnaya-zagorodnaya-programma-2026-aktiv-polis-na-baze-sanatoriya\"",\""priceFrom\"":null,\""priceTo\"":null,\""currency\"":\""BYN\"",\""priceMode\"":\""UNKNOWN\"",\""priceText\"":\""2 213 BYN - РАННЕЕ БРОНИРОВАНИЕ до 1 февраля 2026 *можно купить в рассрочку до 8 месяцев (услуги ООО \\\""Активные дети\\\"" Стоимость включает: 1 098 BYN (оплата санаторию) - проживание (11 дней/12 ночей), 6-ти разовое питание, медицинские процедуры, охрана территории, мед. сопрово...""},{""source"":""snapshot:wordpress-db:events:60404:raw"",""path"":""$.postMeta.event-cost[0]"",""value"":""<p><strong>2 213 BYN</strong><strong> - РАННЕЕ БРОНИРОВАНИЕ до 1 февраля 2026</strong></p>\n<p><em>*можно купить в рассрочку до 8 месяцев (услуги ООО \""Активные дети\""</em></p>\n<p><strong>Стоимость включает:</strong><br /><strong>1 098 BYN<...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmrsduuwv0006wsepv9dbf19s/edit","/editor/event/cmrsduuwv0006wsepv9dbf19s/edit"
"Activity","cmrt4gvoz0006wse4r8c9nj4b","","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.activity"",""path"":""$"",""value"":{""id"":""cmrt4gvoz0006wse4r8c9nj4b"",""slug"":null,""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null,""scheduleJson"":{""mode"":""ONE_TIME"",""dates"":[""2026-07-25""],""startTime"":""19:00"",""scheduleItems"":[{""date"":""2026-07-25"",""startTime"":""19:00""}]}}}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/event/cmrt4gvoz0006wse4r8c9nj4b/edit","/editor/event/cmrt4gvoz0006wse4r8c9nj4b/edit"
"Offer","cmrwf27x80006ws2shcxrzcry","bomba","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null}","[{""source"":""current.offer"",""path"":""$"",""value"":{""id"":""cmrwf27x80006ws2shcxrzcry"",""slug"":""bomba"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":null,""priceItems"":null,""campSessions"":null}}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/offer/cmrwf27x80006ws2shcxrzcry/edit","/editor/offer/cmrwf27x80006ws2shcxrzcry/edit"
"Offer","cmrwh7f4f0006wsionf49nq3h","strazhi-galaktiki","{""priceFrom"":95,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":""95 руб/чел."",""priceItems"":null}","[{""source"":""current.offer"",""path"":""$"",""value"":{""id"":""cmrwh7f4f0006wsionf49nq3h"",""slug"":""strazhi-galaktiki"",""priceFrom"":95,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceText"":""95 руб/чел."",""priceItems"":null,""campSessions"":null}},{""source"":""snapshot:wordpress-db:hb-programs:43646:raw"",""path"":""$.postMeta.program-cost[0]"",""value"":""<p>95 руб/чел.</p>""},{""source"":""snapshot:wordpress-db:hb-programs:43646:raw"",""path"":""$.postMeta.average-check-program[0]"",""value"":""95""}]","UNKNOWN","","","ambiguous-offer-priceFrom","http://localhost:3000/editor/offer/cmrwh7f4f0006wsionf49nq3h/edit","/editor/offer/cmrwh7f4f0006wsionf49nq3h/edit"
