legacyId,targetArticleId,title,slug,legacyUrl,recommendedScope,recommendedCity,confidence,reason,specialFlag,ownerDecision,ownerCity,ownerNote
10727,cmsswr3jk00hywsqhbgndcb6q,Аквапарк в Молодечно и вкуснющщщие бургеры.,akvapark-v-molodechno-i-vkusnjushhshhshhie-burgery,https://mamago.by/akvapark-v-molodechno-i-vkusnjushhshhshhie-burgery/,UNCLEAR,,MEDIUM,"Explicitly about a waterpark trip to Molodechno, not Minsk — Minsk is mentioned only as the contrasting starting point.",MIXED_MINSK_BELARUS,,,
13373,cmsswtr0y01guwsqhe6wu9ly5,"Хьюстон, у нас каникулы в феврале!",hyuston-u-nas-vesennie-kanikuly,https://mamago.by/hyuston-u-nas-vesennie-kanikuly/,UNCLEAR,,MEDIUM,"February break activities mixing a specific camp with generic 'variant' options; geo signal shows Molodechno, not clearly Minsk.",MIXED_MINSK_BELARUS,,,
18618,cmsswvjtf0246wsqhbz6o6dfp,Детские летние лагеря 2024 загородные,detskie-letnie-lagerya-2024-zagorodnye,https://mamago.by/detskie-letnie-lagerya-2024-zagorodnye/,UNCLEAR,,MEDIUM,"Out-of-town/country camps listicle — explicitly not city-based (Belarus-wide camp locations), though MamaGo itself is Minsk-based.",MIXED_MINSK_BELARUS,,,
19660,cmsswwlmj02hmwsqh9lcfn7k4,Маша Гурбанова: любимые места...,masha-gurbanova-lyubimye-mesta,https://mamago.by/masha-gurbanova-lyubimye-mesta/,UNCLEAR,,MEDIUM,"Personal 'favorite places' interview naming Grodno and general Belarus venues, not Minsk specifically.",MIXED_MINSK_BELARUS,,,
20214,cmsswwxuo02n2wsqhj86gbuox,"100 классных идей, как провести время ярко и необычно всей семьей",chto-delat-letom-100-klassnyh-idey-kak-provesti-vremya-yarko-i-neobychno-vsey-semey,https://mamago.by/chto-delat-letom-100-klassnyh-idey-kak-provesti-vremya-yarko-i-neobychno-vsey-semey/,UNCLEAR,,LOW,"100 generic family activity ideas; empty body and mixed geo signals (Minsk, Brest, Molodechno) prevent confident single-city classification.",MIXED_MINSK_BELARUS,,,
23812,cmsswzu4z03qqwsqh6axbx74n,Спортивные кружки и секции для детей в Минске,sportivnye-kruzhki-i-sekcii-dlja-detej-v-minske,https://mamago.by/sportivnye-kruzhki-i-sekcii-dlya-detey-v-minske/,UNCLEAR,,MEDIUM,"AMBIGUOUS WP — flagged explicitly for owner review, not silently auto-approved. Title says 'в Минске' and lists many named sports schools; 3 of 12 relation-evidence Places resolved to Minsk and 9 unresolved — strong CITY_MINSK signal but incomplete relational confirmation.",AMBIGUOUS_RELATIONS;SOFT_SLUG_MISMATCH,,,
28546,cmssu29u000xswsobs5591cis,"ТОП идей, что подарить маме на День матери: интересные и оригинальные подарки про эмоции.",top-idej-chto-podarit-mame-na-den-materi-interesnye-i-originalnye-podarki-pro-jemocii,https://mamago.by/top-idey-chto-podarit-mame-na-den-materi-interesnye-i-originalnye-podarki-pro-emocii/,UNCLEAR,,LOW,Generic Mother's Day gift-idea listicle; some entries may reference local services but framing is not Minsk-specific.,SOFT_SLUG_MISMATCH,,,
30049,cmssu2a3800y0wsobj4zg6tec,Гайд: готовимся к Тыквенному Спасу!,gajd-gotovimsja-k-tykvennomu-spasu,https://mamago.by/gayd-gotovimsya-k-tykvennomu-spasu/,UNCLEAR,,MEDIUM,Halloween-adjacent holiday prep guide mixing generic costume/decor tips with a 'where to go' section.,SOFT_SLUG_MISMATCH,,,
33172,cmssu3fum01fcwsobiweri9k7,Зимние каникулы: куда пристроить детей?,zimnie-kanikuly-kuda-pristroit-detey,https://mamago.by/zimnie-kanikuly-kuda-pristroit-detey/,UNCLEAR,,MEDIUM,Listicle of named children's clubs/camps; genre matches Minsk-club roundups but geo signals mix Minsk and Molodechno with no clear single-city framing.,MIXED_MINSK_BELARUS,,,
35329,cmssu60c10238wsob82yuzxea,Чем заняться в остаток каникул и где отпраздновать Рождество,chem-zanyatsya-v-ostatok-kanikul-i-gde-otprazdnovat-rozhdestvo,https://mamago.by/chem-zanyatsya-v-ostatok-kanikul-i-gde-otprazdnovat-rozhdestvo/,UNCLEAR,,MEDIUM,"Christmas holiday guide with a mix of 'out of town' and generic tips; named Belarus-wide attractions (Дукорский маёнтак, Станьково) rather than purely Minsk-city venues.",MIXED_MINSK_BELARUS,,,
